51,374
54,428
15,723
11,527
69,447
29,291
42,150
73,417
87,538
64,407
34,247
59,486
8,301
22,359
28,612
85,306
35,308
16,242
52,186
71,432
98,452
47,608
99,331
96,446
43,668
31,286
100,358
18,451
70,156
27,613
61,145
75,138
17,584
26,579
46,251
6,684
68,310
60,209
19,466
41,779
23,607
95,586
38,254
25,451
44,678
82,410
53,398
92,349
58,628
33,140
48,203
97,289
67,511
84,426
79,212
9,706
88,292
1,632
20,750
56,501
36,238
10,719
37,754
49,443
65,263
39,154
62,281
12,729
83,71
14,629
94,544
72,854
74,136
76,461
80,348
45,472
57,457
